sku,name,customer_review_average,customer_review_count,regular_price,category_path,url
6504999,"Peerless-AV - 55"" Neptune Partial Sun 4K HDR Outdoor Smart TV – Comes with FREE Outdoor Tilting Wall Mount (2022)",4.7,134,2299.99,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6504999/pdp
6505133,"Sony - 48"" Class BRAVIA XR A90K OLED 4K UHD Smart Google TV (2022)",4.7,546,1399.99,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6505133/pdp
6505134,"Sony - 42"" Class BRAVIA XR A90K OLED 4K UHD Smart Google TV (2022)",4.8,400,1299.99,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6505134/pdp
6505533,"Samsung - 43"" Class The Sero QLED 4K Smart TV (2022)",4.5,2,1499.99,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6505533/pdp
6505561,"Sony - 32"" Class W830K HD LED Google TV (2022)",4.6,349,299.99,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6505561/pdp
6506776,"LG - 27"" Class LED Full HD Smart webOS TV with Countertop Design (2022)",4.6,310,209.99,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6506776/pdp
6506779,LG - 24” Class LED HD Smart TV with webOS (2022),4.6,436,169.99,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6506779/pdp
6506780,"LG - 27"" Class LED Full HD Smart TV with webOS (2022)",4.6,1078,199.99,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6506780/pdp
6516707,SunBriteTV - Pro 2 Series 32 inch HD Outdoor TV Full Sun (2022),1.0,1,4058.99,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6516707/pdp
6519621,"LG - 97"" Class G2 Series OLED evo 4K UHD Smart webOS TV with Gallery Design (2022)",5.0,9,17999.99,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6519621/pdp
